Country,Expenditure,Longitude,Latitude
USA,1046599480744.69,-95.7129,37.0902
China,314544773143.122,104.1954,35.8617
Germany,199971924719.607,10.4515,51.1657
England,158890910174.48,-1.1743,52.3555
France,146120155219.451,2.2137,46.2276
Japan,135877190270.206,138.2529,36.2048
India,96307365993.7959,78.9629,20.5937
Brazil,93093055234.6571,-51.9253,-14.235
Canada,88424162323.2619,-106.3468,56.1304
Italy,82644080010.9527,12.5674,41.8719
Russia,76943674208.8296,105.3188,61.524
Australia,76931642189.4622,133.7751,-25.2744
South Korea,70322481121.6374,127.7669,35.9078
Spain,57433600464.1377,-3.7038,40.4168
Mexico,53035474843.0926,-102.5528,23.6345
Netherlands,46535054512.5115,5.2913,52.1326
Sweden,46291445351.8589,18.6435,60.1282
Indonesia,37713203479.9985,113.9213,-0.7893
Belgium,35634451540.2774,4.4699,50.5039
Switzerland,34881691879.2398,8.2275,46.8182